"seqnames"	"starts"	"ends"	"names"	"scores"	"strands"	"pvalue..log10"	"fold_enrichment"	"qvalue..log10"	"V.30.SUMO"	"ICI.30.SUMO"	"ICI.180.SUMO"
"1681"	"chr1"	115721846	115722730	"peak_call/ICI_30_peak_475"	741	"*"	78.08024	12.74757	74.17652	0	1	0
"1682"	"chr9"	90290273	90290750	"peak_call/ICI_30_peak_11258"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1683"	"chr5"	301879	303385	"peak_call/ICI_30_peak_8640"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1684"	"chr1"	42331854	42332489	"peak_call/ICI_30_peak_290"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1685"	"chr6"	44191307	44191888	"peak_call/ICI_30_peak_9516"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1686"	"chr13"	29138282	29138777	"peak_call/ICI_30_peak_2782"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1687"	"chr20"	34652655	34653521	"peak_call/ICI_30_peak_6775"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1688"	"chr1"	47943370	47944241	"peak_call/ICI_30_peak_321"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1689"	"chr15"	69791979	69792622	"peak_call/ICI_30_peak_3657"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1690"	"chrX"	67682080	67682563	"peak_call/ICI_30_peak_11816"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1691"	"chr2"	26995110	26996112	"peak_call/ICI_30_peak_5831"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1692"	"chr9"	7147053	7147515	"peak_call/ICI_30_peak_11107"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1693"	"chr11"	67564045	67564755	"peak_call/ICI_30_peak_1888"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1694"	"chr18"	47900915	47901428	"peak_call/ICI_30_peak_5194"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1695"	"chr20"	47154989	47155933	"peak_call/ICI_30_peak_6892"	740	"*"	77.92403	5.10649	74.02374	0	0	0
"1696"	"chr19"	1170038	1170765	"peak_call/ICI_30_peak_5241"	740	"*"	77.95764	14.19381	74.05428	0	0	0
"1697"	"chr8"	43096568	43097040	"peak_call/ICI_30_peak_10684"	739	"*"	77.87241	1.64266	73.97227	0	0	0
"1698"	"chr7"	84158378	84159318	"peak_call/ICI_30_peak_10231"	738	"*"	77.74578	12.84916	73.84627	0	1	0
"1699"	"chr16"	23149111	23149645	"peak_call/ICI_30_peak_4060"	738	"*"	77.7413	13.67508	73.84184	0	0	0
"1700"	"chr3"	46204388	46205545	"peak_call/ICI_30_peak_7695"	737	"*"	77.68256	13.8793	73.78329	0	0	0
"1701"	"chr14"	69923903	69924472	"peak_call/ICI_30_peak_3211"	737	"*"	77.67797	10.84105	73.77899	0	0	0
"1702"	"chr14"	93498833	93499956	"peak_call/ICI_30_peak_3354"	736	"*"	77.55016	12.41775	73.65153	0	0	0
"1703"	"chr5"	43469646	43470830	"peak_call/ICI_30_peak_8756"	736	"*"	77.50681	12.78324	73.60862	0	0	0
"1704"	"chr3"	14243737	14244185	"peak_call/ICI_30_peak_7583"	733	"*"	77.19895	11.16895	73.30159	0	0	0
"1705"	"chr2"	237640058	237641164	"peak_call/ICI_30_peak_6578"	730	"*"	76.95596	13.23006	73.05974	0	1	0
"1706"	"chr2"	149365045	149365562	"peak_call/ICI_30_peak_6262"	730	"*"	76.95596	13.23006	73.05974	0	0	0
"1707"	"chr5"	177517647	177518313	"peak_call/ICI_30_peak_9226"	730	"*"	76.90899	9.14841	73.0132	0	0	0
"1708"	"chr5"	60916764	60917368	"peak_call/ICI_30_peak_8806"	730	"*"	76.96951	13.0289	73.07312	0	0	0
"1709"	"chr6"	167041215	167042179	"peak_call/ICI_30_peak_9854"	730	"*"	76.95596	13.23006	73.05974	0	0	0
"1710"	"chr5"	132384990	132386252	"peak_call/ICI_30_peak_8995"	729	"*"	76.82704	10.52023	72.93137	0	0	0
"1711"	"chr12"	123554212	123555444	"peak_call/ICI_30_peak_2668"	728	"*"	76.73415	14.04282	72.83881	0	0	0
"1712"	"chr11"	86711107	86711878	"peak_call/ICI_30_peak_2052"	728	"*"	76.73415	14.04282	72.83881	0	0	0
"1713"	"chr10"	124987155	124987970	"peak_call/ICI_30_peak_1571"	728	"*"	76.73415	14.04282	72.83881	0	0	0
"1714"	"chr11"	30890101	30890609	"peak_call/ICI_30_peak_1717"	728	"*"	76.73415	14.04282	72.83881	0	0	0
"1715"	"chr1"	12660196	12660803	"peak_call/ICI_30_peak_94"	728	"*"	76.73415	14.04282	72.83881	0	0	0
"1716"	"chr5"	142974357	142975426	"peak_call/ICI_30_peak_9076"	728	"*"	76.73415	14.04282	72.83881	1	1	0
"1717"	"chr21"	46347657	46348679	"peak_call/ICI_30_peak_7313"	727	"*"	76.62389	12.54194	72.73201	0	1	0
"1718"	"chr10"	8793905	8795132	"peak_call/ICI_30_peak_1059"	727	"*"	76.64417	12.17971	72.75202	0	0	0
"1719"	"chr14"	38064884	38065629	"peak_call/ICI_30_peak_3043"	726	"*"	76.5544	9.72424	72.66264	1	1	0
"1720"	"chr9"	110893253	110893770	"peak_call/ICI_30_peak_11373"	725	"*"	76.40238	13.0703	72.51129	0	0	0
"1721"	"chr6"	150038577	150039184	"peak_call/ICI_30_peak_9805"	725	"*"	76.46041	13.29504	72.56919	0	0	0
"1722"	"chr11"	70079345	70080082	"peak_call/ICI_30_peak_1939"	725	"*"	76.44933	11.78325	72.55817	1	1	1
"1723"	"chr11"	86486895	86488139	"peak_call/ICI_30_peak_2050"	725	"*"	76.44933	11.78325	72.55817	0	0	0
"1724"	"chr16"	84889422	84890227	"peak_call/ICI_30_peak_4296"	724	"*"	76.36282	12.85739	72.47218	0	0	0
"1725"	"chr6"	36086084	36086605	"peak_call/ICI_30_peak_9447"	724	"*"	76.36334	12.66171	72.47243	0	0	0
"1726"	"chr3"	194906172	194906616	"peak_call/ICI_30_peak_8213"	721	"*"	76.08474	13.18511	72.19497	0	0	0
"1727"	"chr10"	12647626	12648234	"peak_call/ICI_30_peak_1074"	721	"*"	76.08852	13.84121	72.19867	0	0	0
"1728"	"chr16"	88837195	88837872	"peak_call/ICI_30_peak_4377"	719	"*"	75.78882	13.5255	71.90025	0	0	0
"1729"	"chr21"	46932967	46933886	"peak_call/ICI_30_peak_7330"	719	"*"	75.88512	10.72736	71.99596	0	0	0
"1730"	"chr14"	32978697	32979382	"peak_call/ICI_30_peak_3011"	719	"*"	75.88512	10.72736	71.99596	0	0	0
"1731"	"chr2"	72801891	72802631	"peak_call/ICI_30_peak_5992"	718	"*"	75.69144	13.7183	71.80355	0	0	0
"1732"	"chr4"	38464096	38465092	"peak_call/ICI_30_peak_8361"	718	"*"	75.7704	13.09367	71.88189	0	0	0
"1733"	"chr6"	10423307	10424150	"peak_call/ICI_30_peak_9313"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1734"	"chr15"	90701212	90701792	"peak_call/ICI_30_peak_3831"	716	"*"	75.50099	11.71391	71.61672	0	1	0
"1735"	"chr1"	41389038	41390029	"peak_call/ICI_30_peak_278"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1736"	"chr11"	1793809	1794156	"peak_call/ICI_30_peak_1645"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1737"	"chrX"	43552944	43553652	"peak_call/ICI_30_peak_11789"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1738"	"chr15"	69869178	69869713	"peak_call/ICI_30_peak_3659"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1739"	"chr2"	129048897	129049509	"peak_call/ICI_30_peak_6198"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1740"	"chr2"	148569812	148570808	"peak_call/ICI_30_peak_6260"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1741"	"chr6"	170535887	170536409	"peak_call/ICI_30_peak_9869"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1742"	"chr12"	622455	623151	"peak_call/ICI_30_peak_2150"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1743"	"chr11"	395974	396368	"peak_call/ICI_30_peak_1633"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1744"	"chr12"	54781335	54781829	"peak_call/ICI_30_peak_2368"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1745"	"chr2"	200093661	200094478	"peak_call/ICI_30_peak_6398"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1746"	"chr10"	63677847	63678363	"peak_call/ICI_30_peak_1276"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1747"	"chr17"	43201667	43202610	"peak_call/ICI_30_peak_4652"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1748"	"chr17"	43978412	43978779	"peak_call/ICI_30_peak_4657"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1749"	"chr1"	10811209	10811626	"peak_call/ICI_30_peak_84"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1750"	"chr12"	12692133	12692810	"peak_call/ICI_30_peak_2206"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1751"	"chr11"	44322266	44322939	"peak_call/ICI_30_peak_1747"	716	"*"	75.51531	13.89182	71.62789	0	0	0
"1752"	"chr20"	47280222	47280837	"peak_call/ICI_30_peak_6896"	715	"*"	75.44072	5.79603	71.55673	0	0	0
"1753"	"chr13"	41675903	41676730	"peak_call/ICI_30_peak_2837"	714	"*"	75.33991	13.39018	71.45619	0	0	0
"1754"	"chr7"	23312621	23313609	"peak_call/ICI_30_peak_10011"	714	"*"	75.34064	13.83702	71.45692	1	0	0
"1755"	"chr9"	101448941	101450466	"peak_call/ICI_30_peak_11344"	713	"*"	75.20111	12.53382	71.31824	1	0	0
"1756"	"chr14"	106069720	106070243	"peak_call/ICI_30_peak_3500"	713	"*"	75.26464	13.5871	71.38118	0	0	0
"1757"	"chr18"	46547723	46548325	"peak_call/ICI_30_peak_5189"	713	"*"	75.26464	13.5871	71.38118	0	0	0
"1758"	"chr7"	1753414	1754014	"peak_call/ICI_30_peak_9914"	713	"*"	75.19228	12.72619	71.30975	0	0	0
"1759"	"chr13"	33693836	33694686	"peak_call/ICI_30_peak_2807"	710	"*"	74.97389	10.95516	71.0918	1	0	0
"1760"	"chr7"	99679880	99680639	"peak_call/ICI_30_peak_10290"	710	"*"	74.91791	12.08569	71.03612	0	0	0
"1761"	"chr13"	46694023	46694994	"peak_call/ICI_30_peak_2855"	709	"*"	74.80971	10.62984	70.92821	0	0	0
"1762"	"chr6"	107221284	107221710	"peak_call/ICI_30_peak_9656"	709	"*"	74.81134	13.67197	70.92982	0	0	0
"1763"	"chr20"	61275431	61276088	"peak_call/ICI_30_peak_7068"	708	"*"	74.71088	9.37787	70.83005	0	0	0
"1764"	"chr21"	44817330	44818593	"peak_call/ICI_30_peak_7271"	708	"*"	74.7429	12.03962	70.86176	0	0	0
"1765"	"chr16"	15082134	15082642	"peak_call/ICI_30_peak_4027"	708	"*"	74.7076	11.0432	70.82684	0	0	0
"1766"	"chr16"	87894072	87894768	"peak_call/ICI_30_peak_4359"	708	"*"	74.70126	10.33403	70.82052	0	0	0
"1767"	"chr6"	37070100	37071559	"peak_call/ICI_30_peak_9463"	707	"*"	74.58934	12.95728	70.70929	0	0	0
"1768"	"chr19"	13957194	13958574	"peak_call/ICI_30_peak_5366"	707	"*"	74.58934	12.95728	70.70929	0	1	0
"1769"	"chr10"	33560729	33561303	"peak_call/ICI_30_peak_1180"	707	"*"	74.58934	12.95728	70.70929	0	0	0
"1770"	"chr11"	66764391	66765236	"peak_call/ICI_30_peak_1861"	707	"*"	74.62704	9.8162	70.7467	0	0	0
"1771"	"chr17"	80479655	80480337	"peak_call/ICI_30_peak_5070"	707	"*"	74.58934	12.95728	70.70929	0	0	0
"1772"	"chr20"	50003969	50004428	"peak_call/ICI_30_peak_6951"	706	"*"	74.56342	7.05788	70.6837	0	0	0
"1773"	"chr15"	42220001	42220962	"peak_call/ICI_30_peak_3557"	704	"*"	74.30115	13.74082	70.42202	0	0	0
"1774"	"chr11"	129565731	129566215	"peak_call/ICI_30_peak_2137"	704	"*"	74.30115	13.74082	70.42202	0	0	0
"1775"	"chr16"	4666418	4667188	"peak_call/ICI_30_peak_3988"	704	"*"	74.30115	13.74082	70.42202	0	0	0
"1776"	"chr13"	52503773	52504268	"peak_call/ICI_30_peak_2872"	704	"*"	74.30115	13.74082	70.42202	0	0	0
"1777"	"chr6"	139852170	139852729	"peak_call/ICI_30_peak_9767"	704	"*"	74.30115	13.74082	70.42202	0	0	0
"1778"	"chr19"	10597208	10597684	"peak_call/ICI_30_peak_5325"	704	"*"	74.30115	13.74082	70.42202	0	0	0
"1779"	"chr1"	117050979	117052119	"peak_call/ICI_30_peak_487"	702	"*"	74.11642	9.2683	70.24098	0	0	0
"1780"	"chr10"	69846925	69847668	"peak_call/ICI_30_peak_1296"	702	"*"	74.14606	13.24774	70.27045	0	0	0
"1781"	"chr8"	144069192	144070015	"peak_call/ICI_30_peak_11044"	702	"*"	74.09779	11.20686	70.22237	0	0	0
"1782"	"chr19"	11249240	11250046	"peak_call/ICI_30_peak_5339"	701	"*"	74.04327	12.40592	70.16852	0	0	0
"1783"	"chr3"	123050915	123051769	"peak_call/ICI_30_peak_7878"	701	"*"	74.06261	13.441	70.18749	0	0	0
"1784"	"chr2"	103201983	103203184	"peak_call/ICI_30_peak_6104"	700	"*"	73.96787	13.41199	70.09358	0	0	0
"1785"	"chr7"	92237855	92238280	"peak_call/ICI_30_peak_10256"	700	"*"	73.93063	11.65534	70.05642	0	0	0
"1786"	"chr11"	66822604	66823095	"peak_call/ICI_30_peak_1867"	699	"*"	73.85867	11.14951	69.98472	0	1	0
"1787"	"chr5"	147777924	147778551	"peak_call/ICI_30_peak_9088"	698	"*"	73.73827	10.53232	69.86452	0	0	0
"1788"	"chr20"	55204138	55205397	"peak_call/ICI_30_peak_6993"	697	"*"	73.59597	9.73084	69.72312	1	1	0
"1789"	"chr3"	4728621	4729295	"peak_call/ICI_30_peak_7534"	697	"*"	73.58761	10.78394	69.71481	0	0	0
"1790"	"chr15"	87406827	87407995	"peak_call/ICI_30_peak_3789"	696	"*"	73.55923	11.07802	69.68655	0	0	0
"1791"	"chr2"	191844490	191845219	"peak_call/ICI_30_peak_6381"	693	"*"	73.26227	11.48645	69.39064	0	0	0
"1792"	"chr15"	39826285	39826941	"peak_call/ICI_30_peak_3536"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1793"	"chr6"	20210251	20211098	"peak_call/ICI_30_peak_9374"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1794"	"chr12"	131769247	131769883	"peak_call/ICI_30_peak_2718"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1795"	"chr5"	56797107	56797994	"peak_call/ICI_30_peak_8789"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1796"	"chr20"	19747613	19748350	"peak_call/ICI_30_peak_6694"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1797"	"chr18"	13539706	13540453	"peak_call/ICI_30_peak_5129"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1798"	"chr19"	5572365	5572977	"peak_call/ICI_30_peak_5300"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1799"	"chr17"	39662797	39664434	"peak_call/ICI_30_peak_4626"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1800"	"chr7"	151442222	151442803	"peak_call/ICI_30_peak_10508"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1801"	"chr6"	122941595	122942838	"peak_call/ICI_30_peak_9713"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1802"	"chr16"	54457716	54458507	"peak_call/ICI_30_peak_4133"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1803"	"chr1"	62107919	62108866	"peak_call/ICI_30_peak_361"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1804"	"chr16"	691512	693015	"peak_call/ICI_30_peak_3917"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1805"	"chr19"	11530937	11531539	"peak_call/ICI_30_peak_5345"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1806"	"chr18"	9757609	9758431	"peak_call/ICI_30_peak_5113"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1807"	"chr12"	112574778	112575309	"peak_call/ICI_30_peak_2571"	692	"*"	73.09174	13.58982	69.2206	0	0	0
"1808"	"chr1"	215598346	215599015	"peak_call/ICI_30_peak_850"	691	"*"	73.00454	9.38674	69.13667	0	0	0
"1809"	"chr9"	128070698	128071589	"peak_call/ICI_30_peak_11452"	691	"*"	72.99844	11.0991	69.13057	0	0	0
"1810"	"chr3"	164097754	164098390	"peak_call/ICI_30_peak_8058"	691	"*"	72.98588	10.79237	69.1182	0	0	0
"1811"	"chr5"	95047854	95048836	"peak_call/ICI_30_peak_8894"	691	"*"	72.99844	11.0991	69.13057	0	0	0
"1812"	"chr7"	27776909	27778082	"peak_call/ICI_30_peak_10030"	690	"*"	72.88987	12.27802	69.02252	0	0	0
"1813"	"chr3"	71257707	71258276	"peak_call/ICI_30_peak_7803"	689	"*"	72.80418	10.75039	68.93767	0	0	0
"1814"	"chr1"	118659456	118660008	"peak_call/ICI_30_peak_504"	689	"*"	72.86527	13.29491	68.99831	0	0	0
"1815"	"chr3"	169330776	169331596	"peak_call/ICI_30_peak_8069"	689	"*"	72.80418	10.75039	68.93767	0	0	0
"1816"	"chr8"	122157329	122158194	"peak_call/ICI_30_peak_10924"	688	"*"	72.73947	9.22791	68.87326	0	1	0
"1817"	"chr7"	107731687	107732203	"peak_call/ICI_30_peak_10351"	687	"*"	72.61646	9.42438	68.75063	0	0	0
"1818"	"chr7"	105710590	105711095	"peak_call/ICI_30_peak_10341"	686	"*"	72.55871	9.88576	68.69316	0	0	0
"1819"	"chr7"	2103229	2103737	"peak_call/ICI_30_peak_9923"	685	"*"	72.39352	13.15079	68.52866	0	0	1
"1820"	"chr5"	169578160	169578793	"peak_call/ICI_30_peak_9148"	685	"*"	72.39352	13.15079	68.52866	0	0	0
"1821"	"chr14"	104346305	104346737	"peak_call/ICI_30_peak_3459"	684	"*"	72.26923	10.92479	68.40488	0	0	0
"1822"	"chr2"	140530893	140531864	"peak_call/ICI_30_peak_6250"	684	"*"	72.28722	12.30186	68.4228	0	0	0
"1823"	"chr20"	49087525	49088051	"peak_call/ICI_30_peak_6939"	683	"*"	72.24321	6.94903	68.37891	0	0	0
"1824"	"chr5"	138871751	138872862	"peak_call/ICI_30_peak_9046"	683	"*"	72.24089	12.68449	68.37659	0	0	0
"1825"	"chr14"	92814121	92815244	"peak_call/ICI_30_peak_3345"	682	"*"	72.1493	11.37272	68.28542	0	0	0
"1826"	"chr8"	101484099	101484816	"peak_call/ICI_30_peak_10843"	682	"*"	72.14406	10.74499	68.28038	0	0	0
"1827"	"chr21"	45660019	45661400	"peak_call/ICI_30_peak_7296"	681	"*"	71.9982	11.6741	68.1348	0	0	0
"1828"	"chr12"	65004782	65005491	"peak_call/ICI_30_peak_2408"	681	"*"	72.01414	11.01806	68.15073	0	0	0
"1829"	"chr10"	134306582	134307572	"peak_call/ICI_30_peak_1618"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1830"	"chrX"	40436758	40437782	"peak_call/ICI_30_peak_11784"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1831"	"chr5"	140383442	140384081	"peak_call/ICI_30_peak_9059"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1832"	"chr21"	16505069	16505643	"peak_call/ICI_30_peak_7126"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1833"	"chr11"	117173743	117174152	"peak_call/ICI_30_peak_2092"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1834"	"chr6"	35152912	35153546	"peak_call/ICI_30_peak_9439"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1835"	"chr14"	65693632	65694562	"peak_call/ICI_30_peak_3167"	680	"*"	71.8659	10.98235	68.00612	1	1	0
"1836"	"chr2"	16998610	16999685	"peak_call/ICI_30_peak_5781"	680	"*"	71.90327	10.99134	68.04006	0	0	0
"1837"	"chr5"	429813	430288	"peak_call/ICI_30_peak_8646"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1838"	"chr17"	75251159	75251958	"peak_call/ICI_30_peak_5006"	680	"*"	71.88712	13.43882	68.02413	0	1	0
"1839"	"chr5"	176040246	176041106	"peak_call/ICI_30_peak_9208"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1840"	"chr12"	125322533	125323322	"peak_call/ICI_30_peak_2702"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1841"	"chrX"	19621234	19621968	"peak_call/ICI_30_peak_11754"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1842"	"chr11"	108395142	108395605	"peak_call/ICI_30_peak_2071"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1843"	"chr13"	24722887	24724086	"peak_call/ICI_30_peak_2760"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1844"	"chr6"	6759030	6759728	"peak_call/ICI_30_peak_9284"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1845"	"chr7"	75579483	75580375	"peak_call/ICI_30_peak_10203"	680	"*"	71.88712	13.43882	68.02413	0	0	0
"1846"	"chr15"	89928449	89928971	"peak_call/ICI_30_peak_3811"	680	"*"	71.90314	11.4777	68.04006	0	0	0
"1847"	"chr12"	113364125	113364700	"peak_call/ICI_30_peak_2574"	678	"*"	71.74097	12.15013	67.8816	1	0	0
"1848"	"chr19"	4086187	4087051	"peak_call/ICI_30_peak_5282"	678	"*"	71.7075	12.3326	67.84879	0	0	0
"1849"	"chr6"	33684852	33685486	"peak_call/ICI_30_peak_9417"	678	"*"	71.74097	12.15013	67.8816	0	0	0
"1850"	"chr10"	91681042	91682414	"peak_call/ICI_30_peak_1421"	678	"*"	71.67267	13.14881	67.81406	0	0	0
"1851"	"chr7"	48350951	48351815	"peak_call/ICI_30_peak_10138"	678	"*"	71.74097	12.15013	67.8816	0	0	0
"1852"	"chr14"	37169563	37170841	"peak_call/ICI_30_peak_3033"	677	"*"	71.60467	9.34243	67.74662	0	0	0
"1853"	"chr15"	83620904	83621303	"peak_call/ICI_30_peak_3767"	677	"*"	71.57317	11.56353	67.7152	0	0	0
"1854"	"chr9"	136738277	136739900	"peak_call/ICI_30_peak_11560"	674	"*"	71.34604	11.67843	67.48872	0	1	1
"1855"	"chr5"	90610079	90610556	"peak_call/ICI_30_peak_8882"	673	"*"	71.20646	13.00628	67.34968	0	0	0
"1856"	"chr10"	25673479	25674134	"peak_call/ICI_30_peak_1119"	672	"*"	71.07359	12.5481	67.21735	0	0	0
"1857"	"chr11"	69511929	69512510	"peak_call/ICI_30_peak_1933"	671	"*"	71.01794	13.16724	67.16231	0	0	0
"1858"	"chr7"	91527722	91528530	"peak_call/ICI_30_peak_10254"	669	"*"	70.81233	10.88359	66.95711	0	0	0
"1859"	"chr17"	66287633	66288902	"peak_call/ICI_30_peak_4890"	669	"*"	70.85204	8.68465	66.99674	1	1	1
"1860"	"chr2"	157038483	157039176	"peak_call/ICI_30_peak_6289"	669	"*"	70.81233	10.88359	66.95711	0	0	0
"1861"	"chr2"	237733310	237734168	"peak_call/ICI_30_peak_6583"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1862"	"chr3"	123128390	123129119	"peak_call/ICI_30_peak_7880"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1863"	"chr13"	93876757	93877346	"peak_call/ICI_30_peak_2894"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1864"	"chrX"	130699564	130700435	"peak_call/ICI_30_peak_11900"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1865"	"chr1"	153580705	153582043	"peak_call/ICI_30_peak_574"	668	"*"	70.68733	13.28783	66.83257	0	1	0
"1866"	"chr4"	782659	783116	"peak_call/ICI_30_peak_8252"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1867"	"chr2"	238143931	238144564	"peak_call/ICI_30_peak_6591"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1868"	"chr2"	71347301	71347980	"peak_call/ICI_30_peak_5986"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1869"	"chr2"	70485341	70486088	"peak_call/ICI_30_peak_5980"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1870"	"chr10"	80061432	80062266	"peak_call/ICI_30_peak_1366"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1871"	"chr6"	163745771	163746364	"peak_call/ICI_30_peak_9848"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1872"	"chr4"	159015609	159016662	"peak_call/ICI_30_peak_8585"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1873"	"chr18"	51787093	51787624	"peak_call/ICI_30_peak_5198"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1874"	"chr1"	1014768	1015956	"peak_call/ICI_30_peak_6"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1875"	"chr17"	43207198	43207826	"peak_call/ICI_30_peak_4653"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1876"	"chr11"	129194403	129194913	"peak_call/ICI_30_peak_2135"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1877"	"chr19"	16390060	16390508	"peak_call/ICI_30_peak_5405"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1878"	"chr11"	94277244	94277765	"peak_call/ICI_30_peak_2057"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1879"	"chr16"	49043983	49044862	"peak_call/ICI_30_peak_4121"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1880"	"chr2"	16963373	16964087	"peak_call/ICI_30_peak_5780"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1881"	"chr6"	139870722	139871236	"peak_call/ICI_30_peak_9768"	668	"*"	70.68733	13.28783	66.83257	0	0	0
"1882"	"chr7"	148935051	148935583	"peak_call/ICI_30_peak_10498"	667	"*"	70.59258	12.82039	66.74164	0	0	0
"1883"	"chr5"	100627916	100628711	"peak_call/ICI_30_peak_8906"	666	"*"	70.48486	13.00271	66.63464	0	0	0
"1884"	"chr12"	116823575	116824086	"peak_call/ICI_30_peak_2591"	666	"*"	70.54802	10.23976	66.69734	0	0	0
"1885"	"chr15"	70616037	70616909	"peak_call/ICI_30_peak_3673"	666	"*"	70.54802	10.23976	66.69734	0	0	0
"1886"	"chr14"	21316793	21318048	"peak_call/ICI_30_peak_2964"	666	"*"	70.46964	10.95639	66.61974	0	0	0
"1887"	"chr8"	144097221	144098242	"peak_call/ICI_30_peak_11047"	666	"*"	70.4966	9.96163	66.64619	0	0	0
"1888"	"chr3"	177161344	177161742	"peak_call/ICI_30_peak_8109"	666	"*"	70.48486	13.00271	66.63464	0	0	0
"1889"	"chr20"	46923777	46924528	"peak_call/ICI_30_peak_6885"	666	"*"	70.47979	4.4059	66.62988	1	1	0
"1890"	"chr14"	76001782	76002812	"peak_call/ICI_30_peak_3276"	666	"*"	70.4966	9.96163	66.64619	0	1	0
"1891"	"chr11"	67983515	67984593	"peak_call/ICI_30_peak_1897"	665	"*"	70.39381	13.19558	66.54409	0	0	0
"1892"	"chr15"	89027856	89028453	"peak_call/ICI_30_peak_3802"	664	"*"	70.28973	12.72942	66.4402	0	0	0
"1893"	"chr16"	73030349	73031460	"peak_call/ICI_30_peak_4222"	661	"*"	69.99072	12.04287	66.14223	1	1	1
"1894"	"chrX"	69440137	69440902	"peak_call/ICI_30_peak_11818"	660	"*"	69.911	12.41171	66.0631	0	0	0
